Wall time,Step,Value
1620101974.8181722,1,3.845581531524658
1620101977.5411465,2,3.1908483505249023
1620101980.3490155,3,3.1066293716430664
1620101983.124758,4,3.037233591079712
1620101985.8677084,5,3.0278983116149902
1620101988.6127665,6,3.026728391647339
1620101991.3525355,7,3.01896333694458
1620101993.847272,8,3.0152437686920166
1620101996.55559,9,3.015885353088379
1620101999.0806034,10,3.0135443210601807
1620102001.7896872,11,3.018832206726074
1620102004.310617,12,3.0179388523101807
1620102006.837002,13,3.0139403343200684
1620102009.5517156,14,3.0139803886413574
1620102012.275483,15,3.015681505203247
1620102014.8074038,16,3.0170092582702637
1620102017.3289847,17,3.0188021659851074
1620102020.0396523,18,3.011960744857788
1620102022.7830002,19,3.0166590213775635
1620102025.310335,20,3.0128989219665527
1620102027.7907407,21,3.013115644454956
1620102030.319402,22,3.0163636207580566
1620102032.8192594,23,3.014554023742676
1620102035.3044083,24,3.014488935470581
1620102038.0336246,25,3.0160210132598877
1620102040.7761254,26,3.014171838760376
1620102043.2829027,27,3.0152318477630615
1620102045.7859213,28,3.012143135070801
1620102048.3112137,29,3.014699697494507
1620102051.046514,30,3.0130748748779297
1620102053.5838726,31,3.0120019912719727
1620102056.2948868,32,3.012134313583374
1620102058.8186612,33,3.012800931930542
1620102061.322656,34,3.0132522583007812
1620102064.0493438,35,3.01336669921875
1620102066.599395,36,3.0132992267608643
1620102069.0786457,37,3.011707305908203
1620102071.5672693,38,3.011091709136963
1620102074.0781755,39,3.013493061065674
1620102076.7729352,40,3.0138094425201416
1620102079.2907267,41,3.0121355056762695
1620102081.7982373,42,3.012939691543579
1620102084.5131032,43,3.0129501819610596
1620102087.041595,44,3.0129497051239014
1620102089.7732077,45,3.012955904006958
1620102092.2643487,46,3.013685464859009
1620102094.754775,47,3.011500120162964
1620102097.2617426,48,3.012251138687134
1620102099.7596536,49,3.0120627880096436
1620102102.2418828,50,3.012251615524292
1620102104.7346027,51,3.0135138034820557
1620102107.2430189,52,3.0121233463287354
1620102109.9985676,53,3.01407790184021
1620102112.5171993,54,3.013756513595581
1620102115.02135,55,3.0132312774658203
1620102117.5260167,56,3.0130486488342285
1620102120.0116816,57,3.0120439529418945
1620102122.529352,58,3.011857271194458
1620102125.0584824,59,3.0108413696289062
1620102127.6049287,60,3.0120275020599365
1620102130.1075985,61,3.0129098892211914
1620102132.6195755,62,3.0134284496307373
1620102135.114464,63,3.0115277767181396
1620102137.8452673,64,3.011265754699707
1620102140.351262,65,3.012765407562256
1620102142.861162,66,3.0124714374542236
1620102145.3358128,67,3.0125720500946045
1620102148.0646677,68,3.014338731765747
1620102150.841054,69,3.011730432510376
1620102153.4096587,70,3.011889696121216
1620102155.887338,71,3.013798475265503
1620102158.3693209,72,3.011795997619629
1620102161.04762,73,3.011415719985962
1620102163.565628,74,3.0120255947113037
1620102166.0360994,75,3.011518955230713
1620102168.546523,76,3.010836124420166
1620102171.0279803,77,3.013195276260376
1620102173.5195255,78,3.0112316608428955
1620102176.0286078,79,3.0114142894744873
1620102178.471575,80,3.0130460262298584
1620102180.9365292,81,3.012530565261841
1620102183.4103916,82,3.0118939876556396
1620102185.8958638,83,3.010370969772339
1620102188.4063148,84,3.0123512744903564
1620102190.8909433,85,3.011997938156128
1620102193.3410728,86,3.010831356048584
1620102195.8209043,87,3.012033700942993
1620102198.3132308,88,3.0121610164642334
1620102200.8381958,89,3.011976480484009
1620102203.3331714,90,3.012294054031372
1620102205.81572,91,3.011516809463501
1620102208.5435858,92,3.0114777088165283
1620102211.2647274,93,3.0117361545562744
1620102213.7799466,94,3.0114707946777344
1620102216.2937872,95,3.009521484375
1620102218.9835835,96,3.0108487606048584
1620102221.506868,97,3.011786699295044
1620102224.4776063,98,3.011289119720459
1620102227.1375725,99,3.0113980770111084
1620102229.6226537,100,3.011281728744507
